141 22 14 59.09628 114 10 28.81741 11.921 14.460
142 22 15 21.71561 114 12 44.85585 152.023 154.378
143 22 11 56.64407 114 13 13.50645 159.095 161.318
146 22 20 44.86275 114 12 54.42899 268.501 271.065
235 22 16 49.47712 114 08 7.24382 252.343 255.132
241 22 13 42.50101 114 15 20.69471 14.315 16.467
431 22 33 0.97297 114 09 27.65597 46.264 49.496
1025.05 22 14 51.63790 114 13 42.75582 161.623 163.874
10722 22 13 45.02268 114 09 41.75890 16.222 18.753
10733 22 12 54.04693 114 12 18.06103 58.580 60.888
20724 22 21 42.08029 114 01 0.98943 0.236 3.756
20725 22 20 58.07687 114 05 33.84524 209.673 212.793
20726 22 18 59.62112 114 14 53.05777 190.444 192.804
20727 22 17 22.06662 114 18 2.01429 95.209 97.325
20728 22 18 34.61121 114 10 15.53040 67.338 70.047
20729 22 22 47.71441 114 20 15.74747 63.122 65.316
20730 22 17 21.51728 114 18 1.12937 96.631 98.747
30833 22 25 57.50806 114 15 19.82396 0.684 3.342
30834 22 26 32.04185 114 11 1.54919 0.345 3.317
30835 22 28 13.65019 114 13 57.07242 0.289 3.103
7023.06 22 31 36.77259 114 12 27.86855 35.413 38.408
HKKT.1 22 26 41.66174 114 03 59.63436 34.557 38.062
HKLT 22 25 5.28272 113 59 47.84432 125.935 129.666
HKOH 22 14 51.67380 114 13 42.78789 166.418 168.689
HKQB 22 17 27.71715 114 12 47.62071 5.006 7.469
HKSC 22 19 19.81950 114 08 28.27647 20.227 23.119
HKSL 22 22 19.21691 113 55 40.73278 95.303 99.264
HKSS 22 25 51.84451 114 16 9.45642 38.709 41.289
HKST.1 22 23 42.97409 114 11 3.27018 258.727 261.534
HKWS 22 26 3.41646 114 20 7.35829 63.789 66.107
LOKO 22 21 44.39479 114 00 7.16531 2.273 5.907
QUAR 22 17 28.03258 114 12 47.04062 1.309 3.790
TAIM 22 16 12.96600 114 17 21.74587 1.690 3.813
TAIP 22 26 30.45152 114 10 58.17450 2.663 5.633
TSIM 22 29 12.19669 114 00 44.33851 -1.368 2.473
72 22 18 22.58350 114 14 32.12050 280.462 282.847
94 22 26 24.85837 114 02 53.02745 147.052 150.636
96 22 29 8.77718 114 00 1.07993 66.006 69.880
128 22 17 37.50729 114 14 37.83474 220.448 222.811
138 22 20 7.89448 114 09 49.68519 87.772 90.572
139 22 18 43.80901 114 11 1.95010 86.145 88.799
144 22 16 56.21812 114 11 49.05190 227.146 229.647
305 22 29 40.03536 114 03 56.11230 63.793 67.375
311 22 22 7.27708 114 01 7.78456 138.791 142.340
323 22 25 45.42450 114 00 8.97819 81.419 85.177
324 22 23 47.47879 113 55 3.86582 51.256 55.312
414 22 26 18.46955 114 05 53.57756 60.572 63.851
430 22 29 40.99527 114 08 17.51706 41.308 44.566
504 22 23 32.26284 114 11 2.65912 279.604 282.426
526 22 26 1.25743 114 10 29.30132 280.674 283.675
539 22 31 11.38535 114 13 22.06700 52.942 55.819
540 22 27 22.67582 114 15 9.39054 103.055 105.751
654 22 21 40.80450 114 22 18.81179 101.739 103.819
655 22 26 3.86035 114 20 7.25954 59.036 61.371
657 22 18 26.12707 114 17 48.71343 61.271 63.463
658 22 23 15.37548 114 18 1.81514 56.299 58.663
659 22 20 37.12422 114 15 34.18356 176.580 179.003
HKFN 22 29 40.87008 114 08 17.40609 41.210 44.463
236 22 17 38.55813 113 56 7.69486 76.454 80.148
248 22 13 56.57690 113 57 25.24518 2.824 6.186
249 22 19 39.13263 114 00 45.01136 64.443 67.901
1115.03 22 14 56.22818 113 53 38.84886 349.365 353.085
12240 22 18 8.03337 113 58 42.08309 11.511 15.035
CHIM 22 14 22.18423 113 59 59.25469 0.542 3.804
HKMW 22 15 20.92522 114 00 11.43814 194.965 198.230
HKNP 22 14 56.63737 113 53 37.95000 350.700 354.421
HKPC 22 17 5.81671 114 02 16.22571 18.123 21.367
SHEK 22 13 18.53301 113 53 44.31655 0.014 3.709
TAIO 22 15 9.63992 113 51 11.12664 -0.147 3.862
75 22 17 2.58950 114 04 34.70421 116.383 119.462
86 22 15 29.93613 113 51 20.81633 73.358 77.347
240 22 17 7.41136 113 56 22.12355 72.165 75.809
247 22 15 23.49016 114 00 4.76165 192.423 195.711
250 22 13 28.80768 113 53 58.40735 144.825 148.476
